Power;Pressure;xAr;Point1_EtchRate;Point2_EtchRate;Point3_EtchRate;Point4_EtchRate;Point5_EtchRate;Point6_EtchRate;Point7_EtchRate;Point8_EtchRate;Point9_EtchRate;Point10_EtchRate
446;0.059262;0.3;0.253374;0.226274;0.216355;0.197927;0.173059;0.137392;0.100086;0.065946;0.039768;0.024465
1014.9;0.037974;0.64;1.137259;1.038020;0.969960;0.853483;0.716392;0.564781;0.423605;0.304669;0.208546;0.140519
580.1;0.05668;0.62;0.429991;0.386636;0.366339;0.329679;0.285790;0.233372;0.174888;0.122408;0.077208;0.045938
775.7;0.046017;0.66;0.782012;0.698254;0.651248;0.568931;0.474468;0.376637;0.285374;0.203495;0.135412;0.087275
449.1;0.034202;0.77;0.559553;0.512508;0.475652;0.414943;0.347561;0.278408;0.207236;0.148142;0.099106;0.065272
841.8;0.041952;0.68;0.953062;0.856197;0.792712;0.685289;0.574097;0.449931;0.333731;0.239792;0.161221;0.105061
536.7;0.054382;0.12;0.298971;0.272121;0.261532;0.237285;0.206459;0.166578;0.120662;0.081530;0.049116;0.029179
888.7;0.019937;0.57;0.923322;0.871112;0.829118;0.756326;0.668699;0.568037;0.458363;0.360069;0.264502;0.191987
920.3;0.029768;0.84;1.391950;1.285061;1.207094;1.072196;0.904810;0.702191;0.521762;0.356025;0.231864;0.149593
973.3;0.059609;0.17;0.492018;0.440649;0.425548;0.397499;0.357338;0.292241;0.219179;0.147425;0.091391;0.053779
705.5;0.030118;0.54;0.726924;0.672858;0.639817;0.581589;0.511727;0.425738;0.334828;0.248038;0.173600;0.117264
375.4;0.042943;0.84;0.475304;0.426104;0.392571;0.336980;0.274480;0.211464;0.154308;0.105950;0.067993;0.043136
506.1;0.055067;0.26;0.308817;0.279891;0.268598;0.243638;0.211388;0.170402;0.123933;0.083484;0.050147;0.029337
1122;0.059769;0.52;0.727628;0.644504;0.609505;0.546375;0.476640;0.390482;0.305500;0.220086;0.143732;0.089191
437.1;0.042658;0.2;0.350425;0.318384;0.303123;0.273030;0.238900;0.193375;0.141468;0.097520;0.060774;0.036114
1043.2;0.015422;0.7;1.066078;1.008298;0.961373;0.882050;0.780354;0.655342;0.525837;0.403581;0.300216;0.230092
784.5;0.011806;0.35;0.529123;0.511386;0.497496;0.473355;0.438600;0.389883;0.331457;0.282677;0.235596;0.198630
1196.5;0.040905;0.25;0.805557;0.732231;0.707694;0.658052;0.597040;0.520355;0.423445;0.321236;0.220465;0.143138
370.4;0.038357;0.88;0.535097;0.480500;0.439007;0.372863;0.305682;0.233473;0.166274;0.113741;0.073155;0.046078
698.4;0.058098;0.67;0.569910;0.504992;0.472918;0.416062;0.354019;0.281344;0.212914;0.149545;0.095867;0.057982
396;0.047305;0.76;0.404329;0.361551;0.335634;0.293310;0.248343;0.197528;0.146833;0.102492;0.066142;0.041194
1165.7;0.043126;0.65;1.259068;1.134802;1.058344;0.922917;0.767601;0.606007;0.444687;0.318604;0.215662;0.143838
304.2;0.036166;0.65;0.306707;0.280280;0.265785;0.239543;0.209462;0.172637;0.132150;0.094970;0.062220;0.039816
997.4;0.022995;0.52;1.029196;0.957219;0.904860;0.824866;0.728292;0.614892;0.504314;0.389603;0.281810;0.199824
1035.6;0.0581;0.25;0.545415;0.495534;0.479849;0.445624;0.399729;0.338490;0.256027;0.178846;0.111369;0.065275
1081.8;0.03701;0.49;0.995873;0.909121;0.857705;0.767512;0.664002;0.549368;0.426831;0.320300;0.224157;0.152234
376;0.011514;0.55;0.203133;0.195840;0.190940;0.182274;0.170362;0.154197;0.136233;0.116456;0.097644;0.083781
659.8;0.044816;0.76;0.801638;0.714194;0.655354;0.566268;0.466831;0.356771;0.261422;0.181850;0.119778;0.076779
533.9;0.035986;0.26;0.484064;0.443551;0.425319;0.390618;0.344589;0.287873;0.219562;0.156813;0.100923;0.062755
1020.1;0.012952;0.52;0.756456;0.730616;0.706931;0.664526;0.606496;0.529662;0.446378;0.361896;0.288006;0.237904
