Power;Pressure;xAr;Point1_EtchRate;Point2_EtchRate;Point3_EtchRate;Point4_EtchRate;Point5_EtchRate;Point6_EtchRate;Point7_EtchRate;Point8_EtchRate;Point9_EtchRate;Point10_EtchRate
1440.6;0.059171;0.73;1.374981;1.220875;1.144888;1.001409;0.833619;0.639538;0.462120;0.315816;0.207305;0.136327
1568.1;0.054815;0.27;0.806870;0.721630;0.695439;0.644747;0.587650;0.510120;0.410646;0.309032;0.206837;0.129728
477.8;0.053285;0.25;0.301547;0.274388;0.262830;0.238334;0.206375;0.165918;0.120926;0.081446;0.048931;0.028875
1578.7;0.050048;0.17;0.803309;0.723014;0.701866;0.663058;0.617353;0.542007;0.446447;0.336033;0.223330;0.142611
1185.3;0.037749;0.6;1.262866;1.149237;1.078376;0.955570;0.808928;0.639724;0.485112;0.349352;0.242818;0.165024
436.6;0.030944;0.61;0.470880;0.431346;0.408166;0.368380;0.323790;0.266387;0.208211;0.152888;0.103574;0.068980
689.9;0.016356;0.91;0.812075;0.772868;0.732781;0.666070;0.578631;0.473360;0.372305;0.277291;0.197086;0.141772
1640.5;0.053198;0.79;1.828501;1.593845;1.500092;1.334962;1.145067;0.900980;0.639059;0.430874;0.271871;0.173988
1650.8;0.02373;0.6;1.834564;1.695346;1.608734;1.464639;1.280038;1.051470;0.823733;0.611311;0.442043;0.311485
520.7;0.052008;0.87;0.699665;0.628063;0.575461;0.486893;0.387610;0.288546;0.199968;0.132937;0.082432;0.050754
1658.8;0.013538;0.51;1.220732;1.176401;1.129303;1.047712;0.945140;0.828557;0.695608;0.563079;0.443006;0.355285
1640;0.02894;0.46;1.529422;1.411014;1.338533;1.209125;1.052197;0.877480;0.708128;0.536952;0.386279;0.276303
979.5;0.023408;0.25;0.805007;0.757319;0.739639;0.702785;0.660712;0.592376;0.498606;0.391243;0.285679;0.204775
1420.4;0.017646;0.75;1.661032;1.553179;1.472149;1.351833;1.192906;0.991700;0.776644;0.580363;0.417349;0.300760
498.6;0.04155;0.59;0.461172;0.415654;0.391893;0.353946;0.309939;0.255434;0.195725;0.140613;0.091486;0.057447
890.5;0.025819;0.01;0.792149;0.744536;0.728678;0.692471;0.641479;0.562951;0.457833;0.354845;0.253486;0.173124
1582;0.057956;0.64;1.330828;1.182170;1.108285;0.970053;0.811238;0.631957;0.467348;0.330904;0.223930;0.149685
1513.4;0.014756;0.44;1.115567;1.065636;1.024918;0.963074;0.881440;0.774224;0.654495;0.531360;0.417709;0.340123
1183.7;0.04336;0.59;1.164392;1.047540;0.977380;0.853669;0.721262;0.574010;0.429790;0.315845;0.216411;0.143966
797.1;0.02482;0.22;0.728274;0.684500;0.666790;0.629779;0.580845;0.507615;0.414608;0.316005;0.226163;0.157798
1695.8;0.039928;0.66;1.874329;1.679681;1.588219;1.424023;1.220369;0.965185;0.706280;0.494238;0.331696;0.223928
613.8;0.017593;0.32;0.575649;0.544639;0.525556;0.496861;0.460568;0.409560;0.342212;0.268186;0.198769;0.148461
1213.4;0.031819;0.63;1.424212;1.308209;1.224681;1.081483;0.919258;0.748665;0.566012;0.408580;0.278559;0.192332
1147;0.010634;0.35;0.613115;0.597871;0.585191;0.561072;0.525566;0.475314;0.415830;0.353758;0.302314;0.265819
842.1;0.021451;0.16;0.732178;0.696514;0.683323;0.654429;0.612725;0.547285;0.459263;0.358785;0.263217;0.189063
499.1;0.023184;0.09;0.551884;0.514909;0.495580;0.458078;0.408232;0.342536;0.274621;0.204375;0.142717;0.097059
