Power;Pressure;Point1_EtchRateO;Point2_EtchRateO;Point3_EtchRateO;Point4_EtchRateO;Point5_EtchRateO;Point6_EtchRateO;Point7_EtchRateO;Point8_EtchRateO;Point9_EtchRateO;Point10_EtchRateO
89.4;0.010862;0.043042179;0.040252408;0.037542345;0.032839588;0.027618731;0.023673198;0.01885088;0.014307539;0.010720691;0.008967121
393.3;0.021585;0.087279973;0.082497509;0.076519429;0.0669545;0.055396878;0.041448024;0.032799734;0.024470276;0.015981402;0.010003321
79.9;0.032832;0.0793092;0.077316506;0.073729658;0.0669545;0.056991033;0.043440717;0.030089671;0.017695118;0.00864829;0.004344072
101.8;0.052226;0.070939887;0.062570575;0.055795417;0.04583195;0.034314181;0.021720359;0.01143806;0.006775158;0.002335437;0.000697443
178.9;0.049282;0.074925274;0.067751578;0.060577881;0.050215875;0.038538691;0.025227499;0.013789439;0.007651943;0.003244105;0.000984391
95.3;0.022148;0.088077051;0.082896048;0.076519429;0.0669545;0.054998339;0.041049485;0.033397542;0.024470276;0.015782132;0.00968449
235.3;0.017501;0.07612089;0.073331119;0.068947194;0.062570575;0.053404185;0.041846563;0.030328794;0.022198605;0.016778479;0.011996015
225.4;0.051498;0.071736964;0.064164729;0.056991033;0.047027566;0.035350382;0.02255729;0.011796745;0.007014281;0.002558618;0.000773165
267.1;0.05286;0.069744271;0.061773497;0.054599801;0.044636333;0.033357688;0.020963135;0.011358353;0.006536035;0.002140153;0.000625706
81.8;0.019457;0.083294587;0.0793092;0.073729658;0.065758884;0.054998339;0.042245101;0.029531717;0.023912321;0.016658917;0.011198937
251.9;0.022455;0.08847559;0.083294587;0.076519429;0.0669545;0.054599801;0.040650947;0.033676519;0.024430422;0.015662571;0.009485221
146.1;0.016223;0.074526735;0.069345732;0.064164729;0.058585188;0.051012953;0.040650947;0.029930256;0.020126204;0.016340086;0.012314846
121.9;0.017058;0.07612089;0.071338426;0.067751578;0.061374958;0.052607107;0.041448024;0.030288941;0.021560943;0.016698771;0.012115576
211.4;0.020049;0.084490203;0.080504816;0.074925274;0.066555961;0.055396878;0.042245101;0.030368648;0.024111591;0.01657921;0.01091996
103.3;0.016769;0.075722351;0.069744271;0.066555961;0.060577881;0.05181003;0.041448024;0.030209233;0.021122551;0.01657921;0.012195284
53.6;0.033042;0.080106277;0.077715045;0.073729658;0.0669545;0.056991033;0.043440717;0.029890402;0.017535702;0.008528728;0.004304218
164;0.044775;0.080903354;0.074128197;0.067353039;0.056991033;0.045034872;0.030767187;0.018093657;0.008528728;0.004583195;0.001386915
328.1;0.022058;0.088077051;0.082896048;0.076519429;0.0669545;0.054998339;0.041049485;0.033317835;0.024470276;0.015821986;0.009724344
349.8;0.01626;0.074526735;0.069345732;0.064164729;0.058983726;0.051012953;0.040650947;0.02997011;0.020205912;0.016340086;0.012314846
221.7;0.041685;0.084490203;0.078113584;0.070939887;0.06097642;0.04862172;0.034593158;0.021162405;0.010083029;0.005420126;0.002187977
350.4;0.011094;0.045433411;0.042245101;0.039574892;0.034593158;0.029013617;0.02482896;0.019767519;0.014905347;0.011079376;0.009285952
97.6;0.040945;0.084888741;0.078910661;0.071736964;0.061773497;0.049817336;0.035509797;0.021879774;0.010720691;0.005579542;0.002379276
234.4;0.010388;0.038020591;0.035669213;0.032799734;0.029093324;0.024669545;0.02132182;0.017017602;0.013032215;0.009923613;0.008409166
202.9;0.018649;0.080903354;0.076917967;0.072135503;0.064563268;0.054599801;0.042245101;0.02977084;0.023314513;0.016818333;0.011557622
58.4;0.034841;0.083294587;0.080106277;0.074925274;0.0669545;0.055795417;0.041846563;0.028336101;0.015981402;0.007253404;0.003933577
229.2;0.045081;0.080504816;0.073729658;0.0669545;0.056592494;0.044636333;0.030368648;0.017774826;0.008488874;0.004503487;0.001307207
136;0.047425;0.077715045;0.070541348;0.063367652;0.053005646;0.041049485;0.02749917;0.015503155;0.008090335;0.003825971;0.001119894
