Power;Pressure;AverageBulk_n_wO;Point1_EtchRateO;Point2_EtchRateO;Point3_EtchRateO;Point4_EtchRateO;Point5_EtchRateO;Point6_EtchRateO;Point7_EtchRateO;Point8_EtchRateO;Point9_EtchRateO;Point10_EtchRateO;plas.ne_outlet;plas.n_wO3_outlet;plas.n_wO3_1p_outlet;plas.n_wO_outlet;plas.n_wO2_1p_outlet;plas.n_wO_1p_outlet;plas.n_wO_1m_outlet;plas.n_wO2_outlet;plas.n_wO2_1m_outlet;plas.n_wO2a1Dg_outlet;plas.n_wO2b1Sg_outlet;plas.n_wO2H_outlet;plas.n_wO1D_outlet;plas.n_wO3_1m_outlet
966.8;0.068908;8.46E+19;1.62E-08;1.58E-08;1.53E-08;1.44E-08;1.26E-08;1.01E-08;7.32E-09;4.87E-09;2.93E-09;1.65E-09;1.1747E+12;2.03E+15;53917000000;1.83E+17;2.6351E+13;2.6672E+11;164250000;2.22E+21;132250000;3.93E+17;1.09E+17;2.11E+16;4.4044E+12;73714000
1292.8;0.031487;9.36E+19;3.05E-08;3.00E-08;2.95E-08;2.86E-08;2.70E-08;2.44E-08;2.09E-08;1.65E-08;1.19E-08;7.91E-09;1.0189E+14;9.59E+16;1.4066E+11;5.24E+18;1.1735E+14;9.038E+12;90148000000;1.00E+21;4058100000;2.74E+18;2.92E+18;4.98E+17;4.78E+15;78129000
748.5;0.016919;5.04E+19;1.64E-08;1.62E-08;1.58E-08;1.51E-08;1.41E-08;1.28E-08;1.12E-08;9.34E-09;7.39E-09;5.64E-09;1.0713E+14;7.58E+16;43688000000;8.71E+18;1.047E+14;6.8434E+12;1.0338E+11;5.27E+20;1535300000;2.72E+18;5.33E+18;8.05E+17;3.82E+16;77866000
1403;0.025607;9.58E+19;2.87E-08;2.84E-08;2.81E-08;2.74E-08;2.62E-08;2.42E-08;2.13E-08;1.77E-08;1.37E-08;9.99E-09;1.588E+14;1.56E+17;1.6698E+11;9.27E+18;1.5691E+14;1.4115E+13;1.6366E+11;8.05E+20;5291600000;3.79E+18;5.29E+18;8.10E+17;1.62E+16;79226000
894.5;0.069717;7.91E+19;1.45E-08;1.41E-08;1.37E-08;1.29E-08;1.13E-08;9.03E-09;6.58E-09;4.36E-09;2.62E-09;1.48E-09;8.6371E+11;1.58E+15;48058000000;1.54E+17;2.331E+13;2.1296E+11;136170000;2.24E+21;139460000;3.40E+17;9.20E+16;1.76E+16;2.8181E+12;77783000
1175.8;0.068542;9.85E+19;2.03E-08;1.97E-08;1.92E-08;1.80E-08;1.60E-08;1.29E-08;9.33E-09;6.21E-09;3.76E-09;2.13E-09;1.7463E+12;2.98E+15;65065000000;2.37E+17;3.2769E+13;3.6173E+11;206020000;2.21E+21;119520000;4.91E+17;1.40E+17;2.73E+16;7.9665E+12;66898000
625.7;0.063015;5.94E+19;1.17E-08;1.14E-08;1.10E-08;1.02E-08;8.87E-09;7.00E-09;5.09E-09;3.36E-09;2.01E-09;1.13E-09;2.0551E+12;1.77E+15;41854000000;1.90E+17;2.362E+13;3.5399E+11;402030000;2.03E+21;154440000;3.56E+17;1.12E+17;2.35E+16;8.0091E+12;80718000
1540.7;0.041975;1.12E+20;3.31E-08;3.24E-08;3.19E-08;3.10E-08;2.92E-08;2.61E-08;2.17E-08;1.64E-08;1.10E-08;6.82E-09;6.1914E+13;5.84E+16;1.3648E+11;2.82E+18;1.0665E+14;5.0299E+12;23286000000;1.34E+21;1024600000;2.15E+18;1.52E+18;2.90E+17;1.30E+15;61121000
514.7;0.067433;5.02E+19;8.37E-09;8.15E-09;7.92E-09;7.35E-09;6.47E-09;5.18E-09;3.75E-09;2.46E-09;1.46E-09;8.18E-10;7.0391E+11;8.1286E+14;27736000000;1.06E+17;1.5808E+13;1.6004E+11;158670000;2.17E+21;174170000;2.32E+17;6.44E+16;1.27E+16;1.6083E+12;94988000
1883.5;0.038051;1.25E+20;3.44E-08;3.39E-08;3.37E-08;3.30E-08;3.18E-08;2.94E-08;2.56E-08;2.05E-08;1.49E-08;9.80E-09;1.0969E+14;1.14E+17;1.9145E+11;4.99E+18;1.4849E+14;8.6841E+12;56709000000;1.21E+21;2649000000;3.15E+18;2.70E+18;4.74E+17;3.34E+15;64117000
