Power;Pressure;Point1_EtchRateO;Point2_EtchRateO;Point3_EtchRateO;Point4_EtchRateO;Point5_EtchRateO;Point6_EtchRateO;Point7_EtchRateO;Point8_EtchRateO;Point9_EtchRateO;Point10_EtchRateO
335.2;0.024289;0.089272667;0.082896048;0.075722351;0.065360345;0.053005646;0.04264364;0.034553305;0.023832614;0.014586516;0.008289605
94.4;0.049993;0.074128197;0.066555961;0.059382265;0.049020259;0.037502491;0.024350714;0.013151777;0.007452674;0.003024909;0.000920624
369.7;0.026554;0.087678512;0.080903354;0.073331119;0.062570575;0.052208569;0.045034872;0.034354035;0.022597144;0.013111923;0.006854865
271.3;0.046871;0.078113584;0.071338426;0.064164729;0.053802723;0.041846563;0.028176685;0.016021255;0.008209897;0.003985387;0.001151777
84.1;0.038372;0.085685819;0.080106277;0.074128197;0.064563268;0.052607107;0.038379276;0.024749253;0.0128728;0.006097642;0.003068748
147.5;0.010803;0.04264364;0.039574892;0.036984391;0.032401196;0.027260046;0.023394221;0.018611757;0.014148124;0.010640983;0.008927267
241.4;0.031276;0.079707738;0.073729658;0.071338426;0.065758884;0.056991033;0.044636333;0.031285287;0.019010296;0.009724344;0.004543341
385.1;0.011469;0.049020259;0.04583195;0.04264364;0.037263368;0.031165726;0.026542677;0.021122551;0.015702424;0.011557622;0.009804052
105.2;0.059041;0.058983726;0.051411491;0.044636333;0.035669213;0.025466622;0.014546662;0.009764198;0.004304218;0.001223514;3.99E-43
219.9;0.039899;0.08528728;0.079707738;0.072932581;0.062969113;0.051012953;0.036745267;0.022995682;0.011597476;0.005818665;0.002662238
99.7;0.047313;0.077715045;0.070939887;0.063766191;0.053404185;0.041448024;0.027658585;0.015622717;0.008130189;0.003857855;0.001127864
197.6;0.044694;0.080903354;0.074526735;0.067353039;0.057389572;0.045034872;0.030886749;0.018173364;0.008528728;0.004623049;0.001410827
385.8;0.017539;0.076519429;0.073331119;0.069345732;0.062570575;0.053404185;0.041846563;0.030328794;0.022238459;0.016778479;0.011956161
279.5;0.037015;0.085685819;0.080903354;0.074925274;0.065758884;0.053802723;0.039774161;0.026183992;0.014028562;0.006257057;0.003411491
62.5;0.019818;0.084091664;0.080106277;0.074526735;0.066157423;0.055396878;0.042245101;0.029850548;0.024071737;0.016619063;0.011039522
187.3;0.054555;0.0669545;0.058983726;0.05181003;0.042245101;0.031165726;0.019129857;0.011079376;0.005938227;0.001626038;0.000426436
279.4;0.034554;0.082896048;0.079707738;0.074925274;0.0669545;0.056193955;0.042245101;0.028575224;0.016220525;0.007452674;0.003985387
109.9;0.027089;0.086482896;0.080106277;0.072534042;0.061773497;0.053404185;0.045433411;0.034114912;0.022238459;0.012713384;0.006536035
61.1;0.016247;0.074526735;0.069345732;0.064164729;0.058585188;0.051012953;0.040650947;0.02997011;0.020205912;0.016340086;0.012314846
146.9;0.020431;0.08528728;0.081301893;0.075323813;0.066555961;0.055396878;0.042245101;0.031086018;0.024231152;0.016459648;0.010720691
66.2;0.017749;0.077316506;0.074128197;0.069744271;0.062969113;0.053802723;0.041846563;0.030288941;0.022517436;0.016818333;0.011916307
84;0.05038;0.073729658;0.066157423;0.058585188;0.04862172;0.036944537;0.023872468;0.012793092;0.007333112;0.002905347;0.000884756
338.2;0.013368;0.063766191;0.059780804;0.054599801;0.047426104;0.040650947;0.033875789;0.026343408;0.018651611;0.013550316;0.011756891
161;0.039921;0.08528728;0.079707738;0.072932581;0.062969113;0.050614414;0.036705413;0.022955829;0.011557622;0.005818665;0.002654268
62.1;0.044428;0.081301893;0.074526735;0.067751578;0.05778811;0.045433411;0.03120558;0.018412488;0.008568582;0.004702757;0.001478579
203.6;0.052845;0.069744271;0.061773497;0.054599801;0.044636333;0.033357688;0.021002989;0.011358353;0.006575888;0.002144138;0.000629691
183.5;0.055032;0.065758884;0.058186649;0.051012953;0.041448024;0.030528064;0.018651611;0.010959814;0.005778811;0.001482564;0.00036825
115.4;0.010327;0.037303222;0.035031551;0.032201926;0.02853537;0.024271006;0.021002989;0.016778479;0.012832946;0.009843906;0.008369313
