Power;Pressure;Point1_EtchRateO;Point2_EtchRateO;Point3_EtchRateO;Point4_EtchRateO;Point5_EtchRateO;Point6_EtchRateO;Point7_EtchRateO;Point8_EtchRateO;Point9_EtchRateO;Point10_EtchRateO
1722.1;0.036173;0.352;0.354;0.355;0.354;0.349;0.333;0.3;0.251;0.192;0.138
1858.7;0.01009;0.311;0.31;0.307;0.3;0.29;0.274;0.254;0.23;0.206;0.188
690.5;0.023169;0.28;0.278;0.27;0.257;0.236;0.208;0.172;0.134;0.0978;0.0693
1870.1;0.033285;0.35;0.353;0.354;0.355;0.352;0.34;0.314;0.269;0.213;0.158
646.3;0.056026;0.19;0.19;0.185;0.173;0.155;0.129;0.0997;0.0712;0.0477;0.0309
917.7;0.024441;0.314;0.315;0.31;0.299;0.281;0.253;0.215;0.172;0.128;0.0919
1320.3;0.012129;0.307;0.307;0.302;0.296;0.282;0.263;0.235;0.204;0.174;0.15
736.4;0.019625;0.283;0.283;0.276;0.263;0.244;0.217;0.183;0.146;0.11;0.0814
1955.9;0.031765;0.348;0.353;0.354;0.355;0.354;0.343;0.319;0.279;0.223;0.169
1935.8;0.026657;0.345;0.345;0.348;0.349;0.349;0.341;0.319;0.282;0.231;0.181
1228.1;0.044842;0.333;0.334;0.331;0.32;0.302;0.269;0.223;0.17;0.119;0.0784
712.8;0.017133;0.271;0.269;0.263;0.251;0.232;0.207;0.175;0.14;0.108;0.0826
1132.6;0.011878;0.29;0.289;0.284;0.276;0.261;0.24;0.212;0.183;0.154;0.132
1873.6;0.03885;0.357;0.36;0.362;0.36;0.356;0.341;0.31;0.26;0.199;0.144
1688.3;0.019246;0.337;0.341;0.342;0.34;0.335;0.322;0.299;0.263;0.22;0.178
1483.6;0.034734;0.346;0.347;0.347;0.345;0.337;0.315;0.28;0.229;0.172;0.122
553.6;0.034231;0.228;0.227;0.219;0.204;0.182;0.153;0.121;0.0884;0.0602;0.0394
1773.7;0.01919;0.337;0.342;0.342;0.341;0.338;0.326;0.304;0.269;0.226;0.185
1636.6;0.015571;0.335;0.337;0.335;0.33;0.324;0.309;0.284;0.25;0.212;0.178
1614.7;0.029956;0.343;0.347;0.348;0.348;0.343;0.327;0.297;0.252;0.197;0.146
1088.3;0.05161;0.304;0.305;0.3;0.287;0.264;0.228;0.182;0.134;0.0907;0.0588
1483.2;0.020254;0.335;0.34;0.339;0.336;0.329;0.312;0.285;0.246;0.201;0.158
756.8;0.030755;0.288;0.286;0.28;0.266;0.244;0.212;0.173;0.131;0.0924;0.0624
1559.1;0.031904;0.343;0.348;0.348;0.347;0.341;0.323;0.29;0.243;0.187;0.136
547.7;0.0305;0.235;0.233;0.225;0.21;0.188;0.16;0.127;0.0942;0.0649;0.0431
915.4;0.064923;0.23;0.23;0.225;0.213;0.192;0.161;0.125;0.0896;0.0602;0.0391
569.3;0.020273;0.245;0.244;0.237;0.223;0.204;0.177;0.147;0.114;0.0839;0.0606
645.7;0.021602;0.267;0.266;0.259;0.245;0.225;0.197;0.164;0.128;0.094;0.067
1542.2;0.037662;0.348;0.35;0.351;0.348;0.34;0.319;0.281;0.228;0.171;0.12
975.6;0.054093;0.278;0.278;0.272;0.258;0.235;0.199;0.157;0.114;0.0765;0.0494
1925.3;0.015208;0.338;0.339;0.339;0.336;0.332;0.32;0.3;0.269;0.233;0.2
551.7;0.02292;0.244;0.241;0.233;0.22;0.199;0.172;0.14;0.108;0.0776;0.0543
1158.1;0.044234;0.327;0.327;0.324;0.313;0.293;0.259;0.214;0.162;0.112;0.074
1072.3;0.029414;0.328;0.328;0.326;0.318;0.302;0.274;0.234;0.187;0.137;0.0965
780.3;0.017209;0.284;0.282;0.276;0.265;0.247;0.222;0.188;0.152;0.118;0.0905
1234.6;0.026603;0.336;0.336;0.336;0.33;0.319;0.297;0.261;0.214;0.164;0.12
1168.4;0.01874;0.328;0.328;0.325;0.317;0.305;0.283;0.251;0.211;0.168;0.131
914;0.019653;0.309;0.309;0.304;0.293;0.276;0.25;0.216;0.176;0.135;0.102
1519.6;0.035616;0.348;0.349;0.349;0.347;0.339;0.318;0.282;0.231;0.174;0.123
743.9;0.022383;0.29;0.288;0.281;0.268;0.248;0.22;0.184;0.145;0.107;0.0768
678.5;0.049416;0.221;0.22;0.214;0.199;0.178;0.149;0.116;0.0828;0.0554;0.0358
1247.5;0.02741;0.336;0.336;0.337;0.332;0.32;0.297;0.262;0.215;0.163;0.119
1010.6;0.028528;0.324;0.323;0.32;0.311;0.294;0.266;0.226;0.179;0.131;0.0923
1377.9;0.066562;0.323;0.323;0.317;0.303;0.278;0.239;0.189;0.136;0.0912;0.0588
835.7;0.024335;0.304;0.305;0.298;0.287;0.267;0.238;0.2;0.158;0.117;0.0831
882.6;0.018395;0.302;0.302;0.297;0.286;0.269;0.243;0.209;0.17;0.132;0.101
1258.9;0.036711;0.338;0.339;0.337;0.332;0.317;0.29;0.248;0.195;0.142;0.0973
1836.4;0.015107;0.338;0.339;0.338;0.334;0.33;0.316;0.295;0.263;0.226;0.194
1320.8;0.024951;0.336;0.339;0.338;0.334;0.325;0.304;0.271;0.227;0.177;0.132
707.9;0.032517;0.274;0.273;0.267;0.252;0.229;0.197;0.158;0.119;0.0826;0.0549
723.9;0.045381;0.247;0.245;0.238;0.223;0.2;0.168;0.132;0.0953;0.0641;0.0414
886.3;0.069711;0.207;0.207;0.203;0.193;0.174;0.146;0.114;0.0814;0.0547;0.0356
1761.1;0.012301;0.326;0.327;0.325;0.321;0.311;0.296;0.271;0.242;0.211;0.187
881.4;0.025941;0.31;0.311;0.306;0.294;0.275;0.245;0.207;0.163;0.12;0.0846
1721.4;0.028131;0.345;0.347;0.348;0.348;0.345;0.333;0.306;0.264;0.211;0.16
865.3;0.022369;0.308;0.307;0.301;0.291;0.271;0.244;0.207;0.166;0.124;0.0905
1025;0.052935;0.29;0.291;0.285;0.272;0.248;0.212;0.168;0.122;0.0826;0.0534
794.9;0.04213;0.273;0.272;0.265;0.25;0.227;0.193;0.153;0.112;0.0761;0.0496
876.6;0.014477;0.283;0.284;0.279;0.267;0.25;0.226;0.196;0.163;0.131;0.105
1424.1;0.019202;0.335;0.337;0.337;0.332;0.324;0.307;0.279;0.24;0.196;0.155
1209.9;0.051019;0.322;0.325;0.321;0.309;0.287;0.252;0.204;0.151;0.104;0.0676
1027.5;0.030027;0.325;0.325;0.322;0.313;0.295;0.267;0.226;0.178;0.13;0.0906
1377.9;0.06688;0.322;0.322;0.316;0.302;0.277;0.238;0.188;0.136;0.0907;0.0584
1324.6;0.055101;0.331;0.334;0.33;0.318;0.297;0.26;0.211;0.156;0.107;0.0696
1875.8;0.011631;0.325;0.325;0.323;0.319;0.31;0.295;0.272;0.244;0.215;0.193
928.8;0.054646;0.266;0.266;0.26;0.246;0.223;0.189;0.148;0.107;0.0717;0.0463
1635.8;0.030205;0.343;0.347;0.349;0.349;0.344;0.328;0.298;0.254;0.199;0.147
1070.7;0.020014;0.322;0.324;0.321;0.312;0.297;0.273;0.24;0.199;0.156;0.118
1351.7;0.048201;0.338;0.343;0.34;0.331;0.313;0.281;0.234;0.178;0.124;0.082
613.8;0.018594;0.254;0.252;0.245;0.232;0.213;0.188;0.156;0.123;0.0922;0.0687
580.9;0.059207;0.163;0.164;0.16;0.15;0.134;0.111;0.0861;0.0616;0.0413;0.0268
1296.2;0.020709;0.332;0.336;0.334;0.33;0.318;0.298;0.268;0.227;0.181;0.14
1668.8;0.020763;0.336;0.342;0.342;0.342;0.337;0.324;0.3;0.262;0.217;0.173
1901;0.019101;0.337;0.342;0.343;0.342;0.34;0.33;0.31;0.278;0.236;0.195
694.9;0.036077;0.265;0.263;0.256;0.241;0.217;0.185;0.147;0.109;0.0746;0.0488
1353.2;0.0628;0.325;0.327;0.322;0.308;0.284;0.246;0.195;0.142;0.0953;0.0616
1204.1;0.039971;0.332;0.334;0.332;0.324;0.307;0.276;0.232;0.179;0.127;0.0858
517.9;0.044081;0.189;0.187;0.181;0.168;0.148;0.123;0.0951;0.0683;0.0456;0.0294
1005.7;0.015254;0.306;0.304;0.299;0.289;0.274;0.25;0.219;0.183;0.148;0.119
1722.1;0.036173;6.05E-09;6.11E-09;6.14E-09;6.10E-09;6.01E-09;5.71E-09;5.12E-09;4.23E-09;3.21E-09;2.31E-09
1858.7;0.01009;5.16E-09;5.20E-09;5.13E-09;4.99E-09;4.82E-09;4.54E-09;4.21E-09;3.81E-09;3.40E-09;3.12E-09
1800.1;0.017038;0.338;0.339;0.339;0.339;0.334;0.323;0.299;0.266;0.226;0.19
1446.8;0.032196;0.341;0.346;0.346;0.343;0.335;0.314;0.279;0.23;0.175;0.125
1032.6;0.060859;0.27;0.27;0.265;0.251;0.227;0.193;0.151;0.108;0.0727;0.047
1995.5;0.026489;0.345;0.345;0.348;0.35;0.35;0.342;0.322;0.286;0.236;0.186
836.3;0.036272;0.294;0.293;0.287;0.274;0.251;0.217;0.176;0.132;0.0916;0.0605
1478.7;0.029082;0.343;0.344;0.345;0.344;0.336;0.319;0.286;0.24;0.185;0.137
1407.5;0.017534;0.334;0.334;0.333;0.329;0.319;0.302;0.273;0.235;0.193;0.157
1080.9;0.0484;0.31;0.311;0.306;0.292;0.271;0.235;0.189;0.14;0.0955;0.0621
713.3;0.051738;0.222;0.222;0.216;0.202;0.181;0.151;0.117;0.0842;0.0563;0.0363
537.7;0.065805;0.138;0.138;0.135;0.128;0.115;0.096;0.0743;0.0534;0.036;0.0236
1131.7;0.056773;0.301;0.302;0.296;0.283;0.259;0.222;0.176;0.128;0.0864;0.0559
776.2;0.029204;0.294;0.292;0.286;0.273;0.251;0.22;0.181;0.138;0.0982;0.0671
1055.5;0.018467;0.32;0.32;0.316;0.307;0.293;0.269;0.236;0.196;0.154;0.12
1762.3;0.010343;0.31;0.31;0.307;0.299;0.289;0.272;0.251;0.226;0.201;0.182
1601.3;0.035242;0.349;0.35;0.351;0.35;0.343;0.325;0.291;0.241;0.183;0.131
1356.5;0.063659;0.325;0.326;0.32;0.307;0.282;0.244;0.194;0.14;0.0942;0.0608
765.3;0.019356;0.287;0.287;0.281;0.268;0.25;0.223;0.189;0.151;0.115;0.0853
1936.1;0.028633;0.347;0.348;0.35;0.352;0.35;0.342;0.319;0.281;0.228;0.176
898;0.067653;0.217;0.216;0.212;0.201;0.181;0.153;0.118;0.0848;0.0569;0.037
835.7;0.061289;0.223;0.222;0.218;0.205;0.184;0.155;0.12;0.0861;0.0577;0.0374
1060.3;0.063503;0.268;0.269;0.263;0.249;0.225;0.191;0.149;0.107;0.0717;0.0464
631.3;0.030332;0.26;0.258;0.251;0.236;0.213;0.183;0.147;0.11;0.0764;0.051
770.9;0.026157;0.294;0.294;0.287;0.274;0.253;0.223;0.185;0.144;0.104;0.0724
567.6;0.057393;0.164;0.165;0.16;0.15;0.134;0.112;0.0861;0.0615;0.0412;0.0268
1021.2;0.013729;0.295;0.297;0.292;0.281;0.266;0.243;0.213;0.18;0.148;0.121
